stage_number,level,level_name,category,level_path,algorithm,run,execution_ok,solved,valid_path,search_time_s,memory_usage_bytes,expanded_nodes,solution_length,solution_cost,validated_cost,path,error
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,UCS,5,True,True,True,0.0048097999970195815,25574,68,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,A*,1,True,True,True,0.005238300000200979,25662,68,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,A*,2,True,True,True,0.005423099995823577,25662,68,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,A*,3,True,True,True,0.005411400008597411,25662,68,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,A*,4,True,True,True,0.005132399994181469,25662,68,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
3,Stage 03,Stage 03,Fragile,levels/fragile_levels/stage_03.json,A*,5,True,True,True,0.005403799994383007,25662,68,28,73,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]",
4,Stage 04,Stage 04,Bridge/Switch,levels/bridge_switch_levels/stage_04.json,BFS,1,True,True,True,0.025802600008319132,145248,283,17,26,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]",
4,Stage 04,Stage 04,Bridge/Switch,levels/bridge_switch_levels/stage_04.json,BFS,2,True,True,True,0.024625400008517317,145248,283,17,26,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]",
4,Stage 04,Stage 04,Bridge/Switch,levels/bridge_switch_levels/stage_04.json,BFS,3,True,True,True,0.022004200000083074,145248,283,17,26,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]",
4,Stage 04,Stage 04,Bridge/Switch,levels/bridge_switch_levels/stage_04.json,BFS,4,True,True,True,0.021838500004378147,145248,283,17,26,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]",
4,Stage 04,Stage 04,Bridge/Switch,levels/bridge_switch_levels/stage_04.json,BFS,5,True,True,True,0.021525000003748573,145248,283,17,26,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]",
4,Stage 04,Stage 04,Bridge/Switch,levels/bridge_switch_levels/stage_04.json,IDS,1,True,True,True,0.4101630000077421,84686,4967,17,26,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]",
4,Stage 04,Stage 04,Bridge/Switch,levels/bridge_switch_levels/stage_04.json,IDS,2,True,True,True,0.48187470000993926,84686,4967,17,26,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]",
4,Stage 04,Stage 04,Bridge/Switch,levels/bridge_switch_levels/stage_04.json,IDS,3,True,True,True,0.365129199999501,84686,4967,17,26,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]",
