stage_number,level,level_name,category,algorithm,runs,successful_runs,all_runs_ok,solved_all,paths_valid_all,deterministic_consistent,median_search_time_s,mean_search_time_s,stdev_search_time_s,min_search_time_s,max_search_time_s,median_memory_usage_bytes,mean_memory_usage_bytes,expanded_nodes,solution_length,solution_cost,path
6,Stage 06,Stage 06,Bridge/Switch,A*,5,5,True,True,True,True,0.0035155999939888716,0.00366381999629084,0.0004066753789120969,0.003322199991089292,0.004316399994422682,23846,23846,40,13,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]"
7,Stage 07,Stage 07,Split,BFS,5,5,True,True,True,True,0.0817926999880001,0.08322713999950793,0.003072778921332425,0.08048390000476502,0.08767590000934433,318222,318231.6,823,11,13,"[""RIGHT"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""UP"", ""RIGHT"", ""UP"", ""RIGHT""]"
7,Stage 07,Stage 07,Split,IDS,5,5,True,True,True,True,0.22282789999735542,0.23217253999318926,0.01891131299981847,0.2139506999956211,0.2540143999940483,193751,193751,2123,11,13,"[""RIGHT"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""UP"", ""RIGHT"", ""UP"", ""RIGHT""]"
7,Stage 07,Stage 07,Split,UCS,5,5,True,True,True,True,0.10090689999924507,0.10982111999765039,0.020278307227720633,0.10033619999012444,0.14609170000767335,380510,380510,976,11,13,"[""RIGHT"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""SWITCH"", ""UP"", ""UP"", ""RIGHT"", ""RIGHT""]"
7,Stage 07,Stage 07,Split,A*,5,5,True,True,True,True,0.09774100000504404,0.09751588000217452,0.0015643066315461467,0.09490320000622887,0.09894470000290312,384789,384789,861,11,13,"[""RIGHT"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""SWITCH"", ""UP"", ""UP"", ""RIGHT"", ""RIGHT""]"
8,Stage 08,Stage 08,Combined Advanced,BFS,5,5,True,True,True,True,1.0842324000113877,1.0846206400048686,0.020203125912049313,1.058465800000704,1.109421300003305,4597664,4597664,10670,58,67,"[""RIGHT"", ""RIGHT"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""SWITCH"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""DOWN"", ""UP"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""LEFT"", ""UP"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]"
8,Stage 08,Stage 08,Combined Advanced,IDS,5,5,True,True,True,True,161.7535199999984,162.85909429999592,3.4834884636071415,159.29575069999555,168.59237919999578,3456662,3456662,1819330,58,67,"[""RIGHT"", ""RIGHT"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""SWITCH"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""DOWN"", ""UP"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""LEFT"", ""UP"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]"
8,Stage 08,Stage 08,Combined Advanced,UCS,5,5,True,True,True,True,1.0236435000115307,1.0310239999991608,0.017844448257630784,1.0133608000032837,1.0511737999913748,4757534,4757534,11659,58,67,"[""RIGHT"", ""RIGHT"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""SWITCH"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""DOWN"", ""UP"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""LEFT"", ""UP"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]"
8,Stage 08,Stage 08,Combined Advanced,A*,5,5,True,True,True,True,0.9565045000053942,0.9583256600046297,0.008733586089086054,0.9474625000002561,0.9686538000096334,3969248,3969248,10267,58,67,"[""RIGHT"", ""RIGHT"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""SWITCH"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""LEFT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""LEFT"", ""UP"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]"
9,Stage 09,Stage 09,Combined Advanced,BFS,5,5,True,True,True,True,0.003719399988767691,0.0037172999989707025,8.849511424592271e-05,0.0036199000023771077,0.0038472000014735386,29477,29477,62,14,28,"[""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP"", ""LEFT"", ""RIGHT"", ""RIGHT""]"
9,Stage 09,Stage 09,Combined Advanced,IDS,5,5,True,True,True,True,0.022544500010553747,0.02278768000251148,0.0005676597223463949,0.022400999994715676,0.023786200006725267,22389,22389,381,14,28,"[""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP"", ""LEFT"", ""RIGHT"", ""RIGHT""]"
9,Stage 09,Stage 09,Combined Advanced,UCS,5,5,True,True,True,True,0.0036875000077998266,0.003684320003958419,6.719833830625066e-05,0.0036128000065218657,0.003755700003239326,27645,27645,55,15,20,"[""LEFT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""RIGHT"", ""RIGHT""]"
9,Stage 09,Stage 09,Combined Advanced,A*,5,5,True,True,True,True,0.0033056999964173883,0.003313559998059645,5.55753370647562e-05,0.003235399999539368,0.00337730000319425,25950,25950,45,15,20,"[""LEFT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""RIGHT"", ""RIGHT""]"
10,Stage 10,Stage 10,Combined Advanced,BFS,5,5,True,True,True,True,0.052182100000209175,0.05179508000146597,0.0011638621135042796,0.05036629999813158,0.053268000003299676,324333,324333,800,91,142,"[""UP"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""UP"", ""UP"", ""UP"", ""UP"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""DOWN"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""DOWN"", ""DOWN"", ""UP"", ""UP"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""UP"", ""RIGHT"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""UP"", ""RIGHT"", ""DOWN"", ""LEFT""]"
10,Stage 10,Stage 10,Combined Advanced,IDS,5,5,True,True,True,True,8.464026600006036,8.471375899997657,0.04382372370977555,8.422883899998851,8.540867199990316,254752,254752,132439,91,142,"[""UP"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""UP"", ""UP"", ""UP"", ""UP"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""DOWN"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""DOWN"", ""DOWN"", ""UP"", ""UP"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""UP"", ""RIGHT"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""UP"", ""RIGHT"", ""DOWN"", ""LEFT""]"
10,Stage 10,Stage 10,Combined Advanced,UCS,5,5,True,True,True,True,0.0558251000038581,0.055759760001092215,0.0008450813073105896,0.054703599991626106,0.05685460001404863,329197,329197,792,91,142,"[""UP"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""UP"", ""UP"", ""UP"", ""UP"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""DOWN"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""DOWN"", ""DOWN"", ""UP"", ""UP"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""UP"", ""RIGHT"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""UP"", ""RIGHT"", ""DOWN"", ""LEFT""]"
10,Stage 10,Stage 10,Combined Advanced,A*,5,5,True,True,True,True,0.05591880000429228,0.05669289999932516,0.001779082179819898,0.055554799997480586,0.059825200005434453,313158,313158,739,91,142,"[""UP"", ""LEFT"", ""DOWN"", ""LEFT"", ""LEFT"", ""UP"", ""UP"", ""UP"", ""UP"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""DOWN"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""DOWN"", ""DOWN"", ""UP"", ""UP"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""LEFT"", ""UP"", ""RIGHT"", ""LEFT"", ""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""LEFT"", ""DOWN"", ""RIGHT"", ""UP"", ""UP"", ""UP"", ""UP"", ""UP"", ""RIGHT"", ""DOWN"", ""LEFT""]"
